HRV feature,Cohen d (DR+ vs DR-),Mann-Whitney p,BH-corrected p,median DR+,median DR-
hr_mean,-0.02379615397918577,0.8294735775753481,0.9953682930904177,77.58533373847868,76.90933452434123
sdnn,0.17535315468571233,0.8424118982735771,0.8424118982735771,41.24260927139637,42.81851285561618
rmssd,-0.10350874882779153,0.5075241428254528,1.0,12.8527008520357,20.27182823199599
pnn50,-0.2067214621827181,0.34622541825327446,1.0,0.5194805194805194,1.545253863134658
cvnn,0.1844154664437491,0.6309032695062129,0.9463549042593193,5.582040226950227,4.981451080535793
lf_hf,0.14473093032091675,0.4459988742354659,1.0,4.256827227452242,2.944822915346022
