Model,AUC (5-fold OOF),AUPRC,Brier,Calibration slope,Intercept
"Retinopathy, logistic",0.7104297018967183,0.2779849447158159,0.1122344579438297,0.9750097925623727,-0.041586527945603406
"Retinopathy, boosted",0.720281830088513,0.2942853251712185,0.11061212359175267,1.020389184171792,0.03609136617703354
"Neuropathy, logistic (proxies excluded)",0.7028395882427629,0.33016195457703834,0.13217215103330654,0.9777034269272316,-0.031862919304228916
"Neuropathy, boosted (proxies excluded)  [REPORTED]",0.7100382969078647,0.336622527994212,0.13124841785398003,1.0336036327254885,0.04978876115945669
Sensitivity A: neuropathy WITH treatment proxies,0.8384603281799237,0.5405897792347171,0.10628442172382874,1.0289209565564936,0.03437078140836003
Sensitivity B: also without analgesics and psychoanaleptics,0.7081978241484004,0.33331196717286643,0.13154036833353794,1.0337144261840439,0.05052897461530949
