Dataset,n,QWK,AUC referable,AUC 95% lo,AUC 95% hi,Accuracy,Sensitivity,Specificity
DeepDRiD OOF (China),1589,0.8571432632571309,0.9697532472126551,0.9625544701794694,0.9767217998998838,0.6847073631214601,0.9011461318051576,0.9326599326599326
IDRiD external (India),516,0.7293568421491392,0.9517156194356663,0.9333980428073518,0.9670569142872345,0.4496124031007752,0.9380804953560371,0.7150259067357513
APTOS 2019 external (India),3662,0.8452031578217636,0.9792367568737488,0.9753981732107847,0.9825674507521599,0.551611141452758,0.9899125756556826,0.8482758620689655
