Analysis,n,n positive,AUC,95% lo,95% hi
HRV: diabetes vs control (LOO logistic),94,69,0.7768115942028985,0.6707406140321742,0.8699069534865479
HRV: retinopathy within diabetics (LOO)  [NULL],58,19,0.3670715249662618,0.2124652777777778,0.5200902777777777
HRV: autonomic symptoms (LOO),51,15,0.5407407407407407,0.334144955654102,0.7354665192601239
"PPG-BP diabetes: demographics only (age, sex, BMI)",219,38,0.5718232044198895,0.47770440714587076,0.6751633798505523
PPG-BP diabetes: 11 pulse-morphology features  [NULL],219,38,0.3719104390811282,0.2829528790687172,0.4667436518825063
PPG-BP diabetes: morphology + demographics,219,38,0.41698168072113984,0.32278763229944984,0.5210300139442582
"PPG-BP diabetes: PaPaGei-S embedding, PCA-16",219,38,0.45085780750218085,0.35022933978893905,0.5411916078476016
PPG-BP diabetes: PaPaGei + demographics,219,38,0.48967723175341665,0.3888968498046941,0.5872209940674503
PPG-BP hypertension from morphology  [POSITIVE CONTROL],219,139,0.7259892086330936,0.6533348914047077,0.8017858978312263
