Dataset,graded above label (%),exact (%),graded below label (%),mean shift (grades),off by one only (%),off by two or more (%)
DeepDRiD OOF,15.355569540591569,68.470736312146,16.17369414726243,-0.004405286343612335,26.998112020138453,4.531151667715545
IDRiD,38.17829457364341,44.96124031007752,16.86046511627907,0.28875968992248063,44.76744186046512,10.271317829457365
APTOS 2019,36.455488803932276,55.1611141452758,8.383397050791917,0.2932823593664664,42.080830147460404,2.7580557072637903
